h_AGL,a_m_s2,rho_kg_m3,p_kg_m_s2,T_k
0,340.293990299975,1.225,101325,288.15
6.03015075376884,340.270845045733,1.22429099031666,101252.579882378,288.1108040201
12.0603015075377,340.247698217042,1.22358229461646,101180.201683169,288.071608040201
18.0904522613065,340.22454981358,1.22287391280304,101107.865383809,288.032412060302
24.1206030150754,340.201399835025,1.22216584478007,101035.570965738,287.993216080402
30.1507537688442,340.178248281057,1.22145809045122,100963.318410403,287.954020100502
36.1809045226131,340.155095151354,1.22075064972019,100891.107699256,287.914824120603
42.2110552763819,340.131940445593,1.22004352249069,100818.938813756,287.875628140703
48.2412060301508,340.108784163453,1.21933670866646,100746.811735366,287.836432160804
54.2713567839196,340.085626304612,1.21863020815124,100674.726445556,287.797236180905
60.3015075376884,340.062466868747,1.21792402084878,100602.682925801,287.758040201005
66.3316582914573,340.039305855537,1.21721814666287,100530.681157581,287.718844221105
72.3618090452261,340.016143264659,1.2165125854973,100458.721122384,287.679648241206
78.391959798995,339.992979095791,1.21580733725589,100386.802801701,287.640452261307
84.4221105527638,339.96981334861,1.21510240184246,100314.92617703,287.601256281407
90.4522613065327,339.946646022794,1.21439777916085,100243.091229875,287.562060301508
96.4824120603015,339.923477118019,1.21369346911493,100171.297941745,287.522864321608
102.51256281407,339.900306633964,1.21298947160857,100099.546294155,287.483668341708
108.542713567839,339.877134570304,1.21228578654567,100027.836268626,287.444472361809
114.572864321608,339.853960926717,1.21158241383014,99956.1678466841,287.40527638191
120.603015075377,339.830785702879,1.21087935336589,99884.541009861,287.36608040201
126.633165829146,339.807608898467,1.21017660505688,99812.9557396946,287.326884422111
132.663316582915,339.784430513159,1.20947416880707,99741.4120177283,287.287688442211
138.693467336683,339.761250546629,1.20877204452043,99669.909825511,287.248492462312
144.723618090452,339.738068998556,1.20807023210095,99598.4491445975,287.209296482412
150.753768844221,339.714885868614,1.20736873145264,99527.0299565482,287.170100502513
156.78391959799,339.69170115648,1.20666754247953,99455.6522429293,287.130904522613
162.814070351759,339.668514861829,1.20596666508565,99384.3159853123,287.091708542714
168.844221105528,339.645326984339,1.20526609917507,99313.0211652748,287.052512562814
174.874371859296,339.622137523685,1.20456584465187,99241.7677643997,287.013316582915
180.904522613065,339.598946479541,1.20386590142012,99170.555764276,286.974120603015
186.934673366834,339.575753851585,1.20316626938394,99099.3851464979,286.934924623116
192.964824120603,339.552559639491,1.20246694844745,99028.2558926657,286.895728643216
198.994974874372,339.529363842935,1.2017679385148,98957.1679843851,286.856532663317
205.025125628141,339.506166461591,1.20106923949013,98886.1214032676,286.817336683417
211.05527638191,339.482967495136,1.20037085127763,98815.1161309302,286.778140703518
217.085427135678,339.459766943244,1.19967277378148,98744.1521489958,286.738944723618
223.115577889447,339.436564805589,1.19897500690589,98673.2294390926,286.699748743719
229.145728643216,339.413361081848,1.19827755055508,98602.347982855,286.660552763819
235.175879396985,339.390155771694,1.19758040463328,98531.5077619227,286.62135678392
241.206030150754,339.366948874802,1.19688356904477,98460.7087579409,286.58216080402
247.236180904523,339.343740390847,1.19618704369379,98389.950952561,286.542964824121
253.266331658291,339.320530319502,1.19549082848466,98319.2343274396,286.503768844221
259.29648241206,339.297318660443,1.19479492332166,98248.5588642392,286.464572864322
265.326633165829,339.274105413343,1.19409932810912,98177.9245446276,286.425376884422
271.356783919598,339.250890577876,1.19340404275138,98107.3313502789,286.386180904523
277.386934673367,339.227674153716,1.19270906715279,98036.7792628723,286.346984924623
283.417085427136,339.204456140537,1.19201440121773,97966.2682640929,286.307788944724
289.447236180904,339.181236538013,1.19132004485057,97895.7983356313,286.268592964824
295.477386934673,339.158015345817,1.19062599795573,97825.369459184,286.229396984925
301.507537688442,339.134792563622,1.18993226043762,97754.9816164528,286.190201005025
307.537688442211,339.111568191102,1.18923883220067,97684.6347891454,286.151005025126
313.56783919598,339.088342227931,1.18854571314935,97614.3289589754,286.111809045226
319.597989949749,339.065114673781,1.18785290318812,97544.0641076613,286.072613065327
325.628140703518,339.041885528326,1.18716040222146,97473.840216928,286.033417085427
331.658291457286,339.018654791237,1.18646821015388,97403.6572685058,285.994221105528
